year,deu_capog,deu_cit,deu_cp,deu_cpg,deu_gdp,deu_gdptr,deu_gdpv,deu_gdpvtr,deu_gnintq,deu_gos,deu_gosb,deu_gosbg,deu_gosg,deu_hp,deu_ihv,deu_nairu,deu_nlgq,deu_ntax,deu_ntaxg,deu_sspg,deu_sspgg,deu_ssrg,deu_ssrgg,deu_tind,deu_trpesh,deu_trptsh,deu_trrh,deu_trrhg,deu_tsub,deu_tyb,deu_tyh,deu_unben,deu_ung,deu_unr,deu_vat,deu_wpbrent,deu_wpoil,deu_wssh,deu_wsshg,deu_wsss,deu_ype,deu_ypeg,deu_ypg,deu_ypgx,deu_yrg,deu_yrgx,deu_yse,deu_yseg
1980,27279157457,NA,5.17E+11,NA,8.55E+11,NA,NA,NA,1.446353547,2.64E+11,2.56E+11,NA,NA,72.43710689,79342271726,NA,-2.934538006,33135628157,NA,1.35E+11,NA,1.35E+11,NA,97964364024,74829975953,87026537838,1.70E+11,NA,14999743313,15314044293,89896948501,NA,NA,1.730996667,NA,35.02101381,32.8875,5.14E+11,NA,5.08E+11,1.05E+11,NA,3.69E+11,3.52E+11,3.71E+11,3.66E+11,91403130856,NA
1981,24016930045,NA,5.48E+11,NA,8.96E+11,NA,NA,NA,1.810175207,2.80E+11,2.69E+11,NA,NA,77.2009807,79119747758,NA,-3.894838683,35833990617,NA,1.46E+11,NA,1.46E+11,NA,99329947592,81701758846,91229274343,1.84E+11,NA,15650021203,14696280298,90417461592,NA,NA,2.824678772,NA,34.35729337,36.33666667,5.39E+11,NA,5.32E+11,1.20E+11,NA,3.97E+11,3.75E+11,3.86E+11,3.80E+11,95398953150,NA
1982,21914364870,NA,5.69E+11,NA,9.33E+11,NA,NA,NA,2.159258657,2.98E+11,2.85E+11,NA,NA,78.16330546,77350855267,NA,-3.439938165,42899198735,NA,1.56E+11,NA,1.54E+11,NA,1.02E+11,87428244589,95564492416,1.96E+11,NA,15888456429,15563317484,92466981890,NA,NA,4.561538731,NA,31.51735074,33.8925,5.56E+11,NA,5.49E+11,1.24E+11,NA,4.17E+11,3.91E+11,4.07E+11,4.01E+11,98862694669,NA
1983,20342859971,NA,5.95E+11,NA,9.73E+11,NA,NA,NA,2.323738645,3.21E+11,3.07E+11,NA,NA,78.16625546,87743767458,NA,-2.862899377,44393474849,NA,1.57E+11,NA,1.58E+11,NA,1.07E+11,88573541738,99451785928,2.00E+11,NA,16224433338,16983090876,94906887006,NA,NA,6.414034601,NA,28.48063451,29.95333333,5.69E+11,NA,5.61E+11,1.25E+11,NA,4.29E+11,4.00E+11,4.21E+11,4.15E+11,1.04E+11,NA
1984,19735933941,NA,6.22E+11,NA,1.02E+12,NA,NA,NA,2.335907521,3.43E+11,3.27E+11,NA,NA,76.25545594,93169265933,NA,-1.979312889,47263033607,NA,1.60E+11,NA,1.66E+11,NA,1.12E+11,93061236688,1.05E+11,2.04E+11,NA,17795938237,19150683840,99385468397,NA,NA,6.619563726,NA,27.43164388,28.99083333,5.91E+11,NA,5.83E+11,1.41E+11,NA,4.44E+11,4.15E+11,4.44E+11,4.38E+11,1.11E+11,NA
1985,19248225524,NA,6.44E+11,NA,1.07E+12,NA,NA,NA,2.318488006,3.68E+11,3.49E+11,NA,NA,76.25313094,83366182586,NA,-1.145570295,49112612089,NA,1.63E+11,NA,1.74E+11,NA,1.15E+11,98203387152,1.09E+11,2.11E+11,NA,19410794996,21795147257,1.06E+11,NA,NA,6.679286101,NA,26.21094486,27.5475,6.15E+11,NA,6.06E+11,1.47E+11,NA,4.59E+11,4.28E+11,4.66E+11,4.60E+11,1.14E+11,NA
1986,19811799694,NA,6.62E+11,NA,1.13E+12,NA,NA,NA,2.208030483,3.91E+11,3.68E+11,NA,NA,76.25515594,80543001418,NA,-1.147291285,49370336426,NA,1.69E+11,NA,1.84E+11,NA,1.18E+11,1.03E+11,1.15E+11,2.19E+11,NA,20711350774,22087772307,1.10E+11,NA,NA,6.034396393,NA,14.09273706,15.00083333,6.47E+11,NA,6.39E+11,1.38E+11,NA,4.77E+11,4.46E+11,4.84E+11,4.78E+11,1.20E+11,NA
1987,19356605172,NA,6.84E+11,NA,1.16E+12,NA,NA,NA,2.28562696,3.89E+11,3.64E+11,NA,NA,75.29973118,77389324126,NA,-1.80937661,45453826842,NA,1.77E+11,NA,1.91E+11,NA,1.22E+11,1.08E+11,1.20E+11,2.30E+11,NA,22716374267,19790123765,1.17E+11,NA,NA,5.807197095,NA,18.05215422,17.94583333,6.77E+11,NA,6.68E+11,1.37E+11,NA,4.97E+11,4.66E+11,4.95E+11,4.91E+11,1.25E+11,NA
1988,18348674443,NA,7.14E+11,NA,1.22E+12,NA,NA,NA,2.173590054,4.17E+11,3.86E+11,NA,NA,76.25140594,80516430536,NA,-1.976639114,44801919373,NA,1.86E+11,NA,1.99E+11,NA,1.27E+11,1.13E+11,1.25E+11,2.41E+11,NA,23724304995,22564642759,1.20E+11,NA,NA,5.733459296,NA,14.94083333,14.87,7.05E+11,NA,6.96E+11,1.41E+11,NA,5.20E+11,4.88E+11,5.15E+11,5.09E+11,1.34E+11,NA
1989,19616716327,NA,7.66E+11,NA,1.30E+12,NA,NA,NA,2.059948699,4.60E+11,4.25E+11,NA,NA,79.10895522,89795896424,NA,0.080765716,53378887457,NA,1.94E+11,NA,2.09E+11,NA,1.38E+11,1.19E+11,1.30E+11,2.53E+11,NA,24862291301,25068212633,1.32E+11,NA,NA,5.132743363,NA,18.24083333,17.48083333,7.37E+11,NA,7.28E+11,1.66E+11,NA,5.37E+11,5.03E+11,5.58E+11,5.50E+11,1.48E+11,NA
