year,KOM,BMWK,DZ,ccode,OECD
1980,4.115905,4.3,4.115905,DEU,NA
1981,4.643324,5,4.643324,DEU,NA
1982,5.172957,5.6,5.172957,DEU,NA
1983,5.648484,6.3,5.648484,DEU,NA
1984,6.014991,6.7,6.014991,DEU,NA
1985,6.326337,7.1,6.326337,DEU,NA
1986,6.507552,7.3,6.507552,DEU,NA
1987,6.639201,7.4,6.639201,DEU,NA
1988,6.726935,7.4,6.726935,DEU,NA
1989,6.758115,7.4,6.758115,DEU,NA
1990,6.787841,7.3,6.787841,DEU,NA
1991,6.819112,7.2,6.819112,DEU,7.261876
1992,6.953185,7.2,6.953185,DEU,7.394708
1993,7.117036,8.3,7.117036,DEU,7.55391
1994,7.307049,7.3,7.307049,DEU,7.740199
1995,7.494523,7.4,4.2,DEU,7.924987
1996,7.748094,7.6,4.6,DEU,8.164369
1997,8.028011,7.8,4.9,DEU,8.423565
1998,8.245223,8,4.6,DEU,8.639542
1999,8.421782,8.1,4.3,DEU,8.825201
2000,8.576982,8.2,3.8,DEU,8.989373
2001,8.723666,8.3,3.9,DEU,9.123868
2002,8.834077,8.4,4.4,DEU,9.234808
2003,8.8969,8.5,4.9,DEU,9.290129
2004,8.875111,8.5,5.2,DEU,9.256748
2005,8.7585,8.4,5.3,DEU,9.163281
2006,8.49822,8.2,4.5,DEU,8.92289
2007,8.115886,7.8,3.8,DEU,8.580145
2008,7.651994,7.4,3.6,DEU,8.166857
2009,7.197534,7,4.3,DEU,7.741725
2010,6.627143,6.5,3.7,DEU,7.225433
2011,6.032508,5.9,3,DEU,6.670165
2012,5.503546,5.4,2.9,DEU,6.146624
2013,5.019993,5,2.9,DEU,5.630726
2014,4.571995,4.5,2.8,DEU,NA
2015,4.191804,4.2,2.6,DEU,NA
2016,3.866237,3.8,2.4,DEU,NA
2017,3.624059,3.5,2.2,DEU,NA
2018,3.43056,3.3,2,DEU,NA
2019,3.291229,3.1,1.9,DEU,NA
2020,3.264387,3.1,2.8,DEU,NA
2021,3.236347,3,2.3,DEU,NA
2022,3.249073,3,2.3,DEU,NA
2023,3.313885,3.1,2.3,DEU,NA
