year,KOM,BMWK,DZ,GDP_Deflator,ccode,Real_GDP_KOM,OECD
1980,1466.816,1647.1,1643.08729,52.6665803,DEU,1497.192,NA
1981,1496.332,1680,1676.145282,54.8655348,DEU,1505.116,NA
1982,1522.718,1709.8,1705.623603,57.3789567,DEU,1499.173,NA
1983,1550.951,1739.7,1737.039049,58.9901258,DEU,1522.746,NA
1984,1580.939,1772,1770.224932,60.1635222,DEU,1565.733,NA
1985,1613.166,1806.4,1805.668964,61.4418329,DEU,1602.182,NA
1986,1650.889,1846.5,1847.013611,63.2848065,DEU,1638.829,NA
1987,1691.206,1889.7,1891.126176,64.0946424,DEU,1661.808,NA
1988,1735.919,1937.9,1940.358965,65.1781384,DEU,1723.415,NA
1989,1787.78,1994.5,1998.466835,67.0546602,DEU,1790.569,NA
1990,1844.76,2057.8,2064.346869,69.3322679,DEU,1884.664,NA
1991,2131.361,2125.5,2135.262861,71.4712207,DEU,2218.795,1499.111554
1992,2198.442,2193.9,2214.068765,75.2636242,DEU,2261.464,1620.765641
1993,2253.849,2254.6,2288.856411,78.1866104,DEU,2239.373,1719.250324
1994,2299.522,2302.8,2361.570175,79.7906932,DEU,2292.937,1790.628558
1995,2337.793,2344,2486.667929,81.3716059,DEU,2328.343,1856.407924
1996,2372.132,2378.3,2544.546029,81.8616904,DEU,2347.105,1896.900914
1997,2404.457,2407.9,2592.57921,82.0850224,DEU,2389.169,1930.483772
1998,2438.406,2439.1,2642.682137,82.6501494,DEU,2437.285,1973.150238
1999,2475.958,2474.2,2689.129471,82.9337511,DEU,2483.283,2005.443564
2000,2515.242,2513.1,2736.791185,82.5278825,DEU,2555.609,2025.094579
2001,2552.499,2553.1,2769.811129,83.6048671,DEU,2598.581,2079.228192
2002,2585.654,2590,2791.193814,84.7570474,DEU,2593.436,2134.912935
2003,2616.084,2622.1,2811.369535,85.8769029,DEU,2575.279,2181.225146
2004,2646.37,2652.6,2837.231021,86.834942,DEU,2605.541,2227.462873
2005,2677.909,2682.5,2870.016753,87.1868036,DEU,2624.606,2264.30524
2006,2714.754,2715.2,2925.581159,87.5331803,DEU,2724.772,2299.801919
2007,2752.023,2749.1,2975.975169,89.0827568,DEU,2805.874,2369.778096
2008,2786.77,2781.3,3009.290117,89.8928134,DEU,2832.807,2421.990087
2009,2808.783,2805.7,3007.839005,91.5485416,DEU,2671.512,2476.434828
2010,2841.034,2833.6,3039.013372,92.1392822,DEU,2783.178,2525.347022
2011,2865.543,2867.7,3061.712544,93.1246968,DEU,2892.423,2577.455127
2012,2891.788,2906.8,3074.334413,94.5182975,DEU,2904.528,2643.064254
2013,2936.497,2948.4,3104.908632,96.3702812,DEU,2917.238,2709.362757
2014,2982.802,2989.6,3139.905791,98.1800571,DEU,2981.695,NA
2015,3034.527,3035.4,3184.524423,100,DEU,3026.18,NA
2016,3084.298,3077.3,3228.769844,101.3277522,DEU,3093.664,NA
2017,3125.077,3116.2,3265.812089,102.8514571,DEU,3176.581,NA
2018,3164.045,3158.2,3301.801431,104.8824825,DEU,3211.08,NA
2019,3197.171,3195.3,3329.320714,107.0378768,DEU,3244.973,NA
2020,3221.898,3227.7,3325.983112,108.7470819,DEU,3096.69,NA
2021,3251.136,3256.7,3355.53117,112.0628727,DEU,3186.265,NA
2022,3282.736,3289.8,3374.945299,118.0705256,DEU,3235.906,NA
2023,3318.649,3325.5,3400.139932,122.3492112,DEU,3313.86,NA
